LIC-MS220-24-10YR,Switches,"Meraki MS220-24 Enterprise License and Support, 10 Year",600.00
LIC-MS220-24P-1YR,Switches,"Meraki MS220-24P Enterprise License and Support, 1 Year",160.00
LIC-MS220-24P-3YR,Switches,"Meraki MS220-24P Enterprise License and Support, 3 Year",320.00
LIC-MS220-24P-5YR,Switches,"Meraki MS220-24P Enterprise License and Support, 5 Year",480.00
LIC-MS220-24P-7YR,Switches,"Meraki MS220-24P Enterprise License and Support, 7 Year",640.00
LIC-MS220-24P-10YR,Switches,"Meraki MS220-24P Enterprise License and Support, 10 Year",800.00
LIC-MS220-48-1YR,Switches,"Meraki MS220-48 Enterprise License and Support, 1 Year",210.00
LIC-MS220-48-3YR,Switches,"Meraki MS220-48 Enterprise License and Support, 3 Year",420.00
LIC-MS220-48-5YR,Switches,"Meraki MS220-48 Enterprise License and Support, 5 Year",630.00
LIC-MS220-48-7YR,Switches,"Meraki MS220-48 Enterprise License and Support, 7 Year",840.00
LIC-MS220-48-10YR,Switches,"Meraki MS220-48 Enterprise License and Support, 10 Year",1050.00
LIC-MS220-48LP-1YR,Switches,"Meraki MS220-48LP Enterprise License and Support, 1 Year",280.00
LIC-MS220-48LP-3YR,Switches,"Meraki MS220-48LP Enterprise License and Support, 3 Year",560.00
LIC-MS220-48LP-5YR,Switches,"Meraki MS220-48LP Enterprise License and Support, 5 Year",840.00
LIC-MS220-48LP-7YR,Switches,"Meraki MS220-48LP Enterprise License and Support, 7 Year",1120.00
LIC-MS220-48LP-10Y,Switches,"Meraki MS220-48LP Enterprise License and Support, 10 Year",1400.00
LIC-MS220-48FP-1YR,Switches,"Meraki MS220-48FP Enterprise License and Support, 1 Year",330.00
LIC-MS220-48FP-3YR,Switches,"Meraki MS220-48FP Enterprise License and Support, 3 Year",660.00
LIC-MS220-48FP-5YR,Switches,"Meraki MS220-48FP Enterprise License and Support, 5 Year",990.00
LIC-MS220-48FP-7YR,Switches,"Meraki MS220-48FP Enterprise License and Support, 7 Year",1320.00
LIC-MS220-48FP-10Y,Switches,"Meraki MS220-48FP Enterprise License and Support, 10 Year",1650.00
LIC-MS320-24-1YR,Switches,"Meraki MS320-24 Enterprise License and Support, 1 Year",250.00
LIC-MS320-24-3YR,Switches,"Meraki MS320-24 Enterprise License and Support, 3 Year",500.00
LIC-MS320-24-5YR,Switches,"Meraki MS320-24 Enterprise License and Support, 5 Year",750.00
LIC-MS320-24-7YR,Switches,"Meraki MS320-24 Enterprise License and Support, 7 Year",1000.00
LIC-MS320-24-10YR,Switches,"Meraki MS320-24 Enterprise License and Support, 10 Year",1255.00
LIC-MS320-24P-1YR,Switches,"Meraki MS320-24P Enterprise License and Support, 1 Year",275.00
LIC-MS320-24P-3YR,Switches,"Meraki MS320-24P Enterprise License and Support, 3 Year",550.00
LIC-MS320-24P-5YR,Switches,"Meraki MS320-24P Enterprise License and Support, 5 Year",830.00
LIC-MS320-24P-7YR,Switches,"Meraki MS320-24P Enterprise License and Support, 7 Year",1105.00
LIC-MS320-24P-10YR,Switches,"Meraki MS320-24P Enterprise License and Support, 10 Year",1380.00
LIC-MS320-48-1YR,Switches,"Meraki MS320-48 Enterprise License and Support, 1 Year",370.00
LIC-MS320-48-3YR,Switches,"Meraki MS320-48 Enterprise License and Support, 3 Year",740.00
LIC-MS320-48-5YR,Switches,"Meraki MS320-48 Enterprise License and Support, 5 Year",1110.00
LIC-MS320-48-7YR,Switches,"Meraki MS320-48 Enterprise License and Support, 7 Year",1480.00
LIC-MS320-48-10YR,Switches,"Meraki MS320-48 Enterprise License and Support, 10 Year",1850.00
LIC-MS320-48LP-1YR,Switches,"Meraki MS320-48LP Enterprise License and Support, 1 Year",430.00
LIC-MS320-48LP-3YR,Switches,"Meraki MS320-48LP Enterprise License and Support, 3 Year",860.00
LIC-MS320-48LP-5YR,Switches,"Meraki MS320-48LP Enterprise License and Support, 5 Year",1290.00
LIC-MS320-48LP-7YR,Switches,"Meraki MS320-48LP Enterprise License and Support, 7 Year",1715.00
LIC-MS320-48LP-10Y,Switches,"Meraki MS320-48LP Enterprise License and Support, 10 Year",2150.00
LIC-MS320-48FP-1YR,Switches,"Meraki MS320-48FP Enterprise License and Support, 1 Year",470.00
LIC-MS320-48FP-3YR,Switches,"Meraki MS320-48FP Enterprise License and Support, 3 Year",945.00
LIC-MS320-48FP-5YR,Switches,"Meraki MS320-48FP Enterprise License and Support, 5 Year",1415.00
